,project,f1,precision,recall,g-score,d2h,popt20,ifa,pd,pf
0,bzbyte.csv,0.82,0.8,0.82,0.63,0.69,0.36,0,0.82,0.67
1,freedom-erp.csv,0.73,0.68,0.89,0.67,0.54,0.3,0,0.89,0.5
2,twostep.csv,0.71,0.75,0.6,0.65,0.42,0.33,0,0.6,0.11
3,iaml.csv,0.6,0.64,0.57,0.51,0.66,0.56,1,0.57,0.43
4,etics.csv,0.22,0.17,0.33,0.35,0.87,0.33,2,0.33,0.12
6,nsis.csv,0.97,0.94,1.0,0.0,1.0,0.5,0,1.0,1.0
8,monetdb.csv,0.36,1.0,0.22,0.26,0.78,0.33,0,0.22,0.0
9,amygdala.csv,0.57,0.57,0.57,0.57,0.64,0.43,1,0.57,0.43
10,ikvm.csv,0.57,0.5,0.5,0.54,0.56,0.4,1,0.5,0.5
11,jicarilla.csv,0.67,0.6,0.86,0.7,0.57,0.64,0,0.86,0.57
12,metacosm.csv,0.55,0.6,0.6,0.58,0.58,0.5,1,0.6,0.33
13,mplayer-ce.csv,0.0,0.0,0.0,0.0,1.0,0.0,125,0.0,0.0
14,moviesandbox.csv,0.76,0.67,0.75,0.73,0.58,0.38,1,0.75,0.57
15,uwom.csv,0.0,0.0,0.0,0.0,1.0,0.0,164,0.0,0.0
16,geotools.csv,0.21,0.67,0.12,0.15,0.88,0.67,0,0.12,0.02
17,jrdf.csv,0.0,0.0,0.0,0.0,1.0,0.4,13,0.0,0.17
18,ng4j.csv,0.44,0.4,0.5,0.54,0.56,0.6,1,0.5,0.25
19,bloodycore.csv,0.0,0.0,0.0,0.0,1.0,0.0,91,0.0,0.0
21,jstock.csv,0.33,0.33,0.33,0.37,0.7,0.4,2,0.33,0.22
22,nassp.csv,0.0,0.0,0.0,0.0,1.0,0.0,10,0.0,0.11
23,soar.csv,0.67,0.56,0.71,0.51,0.82,0.5,0,0.71,0.6
24,xbplayer.csv,0.5,0.56,0.44,0.48,0.62,0.67,1,0.44,0.22
25,scite-ru.csv,0.33,0.5,0.25,0.29,0.76,0.5,1,0.25,0.09
26,mobicents.csv,0.55,0.56,0.6,0.55,0.63,0.47,0,0.6,0.48
