,0,1,2,3,4,5,6,7,8
inkscape.csv,0.5,0.5,0.4,0.38,0.5,0.4,0.38,0.5,0.4
wxcrp.csv,0.25,0.25,0.5,0.67,0.25,0.5,0.3,0.25,0.5
m-m-m.csv,0.0,0.0,0.57,0.33,0.0,0.57,0.33,0.0,0.57
bacula.csv,0.33,0.25,0.25,0.33,0.25,0.25,0.36,0.25,0.25
extprosys.csv,0.62,0.67,0.0,0.42,0.67,0.0,0.42,0.67,0.0
lsb.csv,0.8,0.0,0.0,0.8,0.0,0.0,0.47,0.0,0.0
fritzing.csv,0.36,0.5,0.44,0.38,0.5,0.44,0.5,0.5,0.44
robocode.csv,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0
capcode.csv,0.14,0.4,0.0,0.14,0.4,0.0,0.25,0.4,0.0
openefm.csv,0.25,0.25,0.5,0.3,0.25,0.5,0.38,0.25,0.5
etics.csv,0.67,0.5,0.0,0.0,0.5,0.0,0.4,0.5,0.0
novembre.csv,0.5,0.0,0.0,0.4,0.0,0.0,0.33,0.0,0.0
lmms.csv,0.44,0.5,0.4,0.38,0.5,0.4,0.41,0.5,0.4
codeblocks.csv,0.67,0.4,0.33,0.43,0.4,0.33,0.25,0.4,0.33
ontomorphtab.csv,0.25,0.2,0.2,0.0,0.2,0.2,,,
x-ray-mule.csv,0.0,0.33,0.67,0.4,0.33,0.67,0.4,0.33,0.67
openintents.csv,0.2,0.2,0.5,0.2,0.2,0.5,0.2,0.2,0.5
atomsite.csv,0.0,0.0,0.0,0.2,0.0,0.0,0.4,0.0,0.0
bloodycore.csv,0.78,0.78,0.0,0.48,0.78,0.0,0.48,0.78,0.0
checker-framework.csv,0.0,0.0,0.0,0.43,0.0,0.0,0.67,0.0,0.0
arianne.csv,0.5,0.57,0.4,0.5,0.57,0.4,0.35,0.57,0.4
dsworkbench.csv,0.0,0.5,0.33,0.29,0.5,0.33,0.29,0.5,0.33
gogoego.csv,0.83,0.46,0.67,0.5,0.46,0.67,0.38,0.46,0.67
electric-core.csv,0.6,0.71,0.0,0.53,0.71,0.0,0.51,0.71,0.0
atlc.csv,0.0,0.0,0.2,0.0,0.0,0.2,0.29,0.0,0.2
rosegarden.csv,0.46,0.62,0.67,0.4,0.62,0.67,0.41,0.62,0.67
linuxsh.csv,0.0,0.0,0.0,0.25,0.0,0.0,0.29,0.0,0.0
jcae.csv,0.5,0.4,0.0,0.33,0.4,0.0,0.22,0.4,0.0
dxengine.csv,0.33,0.33,0.67,0.5,0.33,0.67,0.33,0.33,0.67
uwom-server.csv,0.75,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
ivatamasks.csv,0.5,0.5,0.38,0.33,0.5,0.38,0.33,0.5,0.38
playerstage.csv,0.33,0.4,0.5,0.33,0.4,0.5,0.33,0.4,0.5
taverna.csv,0.5,0.33,0.33,0.38,0.33,0.33,0.43,0.33,0.33
rtb-team.csv,0.4,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0
projectts.csv,0.0,0.0,0.33,0.5,0.0,0.33,0.5,0.0,0.33
autofac.csv,0.29,0.0,0.33,0.0,0.0,0.33,0.2,0.0,0.33
nsis.csv,0.5,0.0,0.4,0.0,0.0,0.4,0.44,0.0,0.4
esmf.csv,0.67,0.38,0.0,0.4,0.38,0.0,0.4,0.38,0.0
abbot.csv,0.0,0.5,0.33,0.25,0.5,0.33,0.5,0.5,0.33
konversation.csv,0.29,0.25,0.5,0.4,0.25,0.5,0.44,0.25,0.5
arsenal-1.csv,0.0,0.67,0.33,0.33,0.67,0.33,0.33,0.67,0.33
utgb.csv,0.0,0.17,0.4,0.29,0.17,0.4,0.29,0.17,0.4
openmeetings.csv,0.4,0.6,0.0,0.5,0.6,0.0,0.3,0.6,0.0
nosleepsoftware.csv,0.0,0.0,0.5,0.5,0.0,0.5,0.17,0.0,0.5
jsidplay2.csv,0.33,0.0,0.38,0.38,0.0,0.38,0.2,0.0,0.38
chipster.csv,0.33,0.5,0.5,0.25,0.5,0.5,0.25,0.5,0.5
badtrinitycore.csv,0.62,0.5,0.0,0.47,0.5,0.0,0.47,0.5,0.0
zengine.csv,0.0,0.0,0.33,0.0,0.0,0.33,0.5,0.0,0.33
javagroups.csv,0.5,0.38,0.4,0.21,0.38,0.4,0.23,0.38,0.4
hazelcast.csv,0.33,0.25,0.17,0.25,0.25,0.17,0.25,0.25,0.17
xuggle.csv,0.67,0.8,0.0,0.45,0.8,0.0,0.52,0.8,0.0
moviesandbox.csv,0.25,0.5,0.29,0.25,0.5,0.29,0.33,0.5,0.29
jrefactory.csv,0.6,0.17,0.4,0.33,0.17,0.4,0.43,0.17,0.4
alembik.csv,0.0,0.0,0.33,0.25,0.0,0.33,0.25,0.0,0.33
mule.csv,0.57,0.0,0.33,0.4,0.0,0.33,0.48,0.0,0.33
aubit4gl.csv,0.4,0.0,0.5,0.33,0.0,0.5,0.4,0.0,0.5
sepgsql.csv,0.0,0.48,0.0,0.36,0.48,0.0,0.36,0.48,0.0
sblim.csv,0.25,0.6,0.5,0.36,0.6,0.5,0.5,0.6,0.5
pentahoanalysistool.csv,0.5,0.33,0.33,0.43,0.33,0.33,0.25,0.33,0.33
rezilla.csv,0.0,0.0,0.25,0.0,0.0,0.25,0.17,0.0,0.25
pcgen.csv,0.4,0.75,0.29,0.4,0.75,0.29,0.42,0.75,0.29
dvd-create.csv,0.25,0.33,0.2,0.33,0.33,0.2,0.22,0.33,0.2
freenet.csv,0.44,0.8,0.33,0.32,0.8,0.33,0.32,0.8,0.33
ivef-sdk.csv,0.0,0.0,0.57,0.44,0.0,0.57,0.67,0.0,0.57
adonthell.csv,0.4,0.4,0.6,0.36,0.4,0.6,0.36,0.4,0.6
algebsql.csv,0.0,0.0,0.67,0.33,0.0,0.67,0.5,0.0,0.67
