,0,1,2,3,4,5,6,7,8
exist.csv,0.33,0.33,0.75,0.42,0.33,0.75,0.75,0.33,0.75
proftp.csv,1.0,0.33,0.67,0.33,0.33,0.67,1.0,0.33,0.67
rtrt-on-gpu.csv,0.0,1.0,0.0,0.5,1.0,0.0,1.0,1.0,0.0
matrex.csv,0.5,0.38,0.62,0.5,0.38,0.62,1.0,0.38,0.62
amateur-scrolls.csv,0.33,0.0,0.67,1.0,0.0,0.67,0.67,0.0,0.67
ossbuild.csv,0.0,0.67,0.0,0.0,0.67,0.0,0.0,0.67,0.0
st-filteredstatistics.csv,0.5,0.0,1.0,0.75,0.0,1.0,1.0,0.0,1.0
pokenetonline.csv,0.12,0.0,0.75,0.5,0.0,0.75,0.25,0.0,0.75
java-gnome.csv,1.0,1.0,1.0,0.0,1.0,1.0,0.2,1.0,1.0
unflobtactical.csv,0.33,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67
archive-crawler.csv,0.0,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5
freedom-erp.csv,0.5,0.0,0.92,0.5,0.0,0.92,0.42,0.0,0.92
miranda-icq.csv,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
silvertree.csv,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0
projectfactory.csv,0.0,0.33,0.67,1.0,0.33,0.67,0.17,0.33,0.67
autat.csv,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
quarkplusplus.csv,0.0,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5
foursquared.csv,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
jasperreports.csv,1.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0
m-a-d-n-e-s-s.csv,0.75,0.75,0.5,1.0,0.75,0.5,1.0,0.75,0.5
roolo.csv,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
frogatto.csv,0.5,0.0,0.5,0.5,0.0,0.5,1.0,0.0,0.5
mimosa.csv,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
amygdala.csv,0.25,0.0,1.0,0.5,0.0,1.0,0.5,0.0,1.0
irrlicht.csv,0.06,0.11,1.0,0.44,0.11,1.0,0.44,0.11,1.0
lcfizvtop.csv,1.0,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
grisbi.csv,0.8,0.8,1.0,0.2,0.8,1.0,1.0,0.8,1.0
mumble.csv,1.0,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5
t-2.csv,0.38,0.0,0.12,0.5,0.0,0.12,0.38,0.0,0.12
jaolt.csv,0.33,0.0,0.89,0.22,0.0,0.89,0.56,0.0,0.89
libmesh.csv,0.5,0.25,0.25,0.5,0.25,0.25,0.25,0.25,0.25
all-plasm.csv,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
acdk.csv,0.58,0.17,0.0,0.83,0.17,0.0,0.83,0.17,0.0
bwapi.csv,0.0,0.0,1.0,0.0,0.0,1.0,0.25,0.0,1.0
modellus.csv,0.64,0.09,0.73,0.64,0.09,0.73,0.64,0.09,0.73
mp-rechnungs-und-kundenverwaltung.csv,0.4,0.2,0.4,1.0,0.2,0.4,1.0,0.2,0.4
tcvp.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xstore.csv,0.0,0.33,0.33,0.67,0.33,0.33,0.67,0.33,0.33
bdbbasic.csv,0.0,0.67,0.0,0.33,0.67,0.0,1.0,0.67,0.0
tart.csv,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
echongl.csv,0.22,0.11,0.89,0.89,0.11,0.89,0.89,0.11,0.89
snakeyaml.csv,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
wheat.csv,0.75,0.75,0.25,0.25,0.75,0.25,0.75,0.75,0.25
dspace-gsoc.csv,0.75,0.25,1.0,0.0,0.25,1.0,0.75,0.25,1.0
yarp.csv,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
boost.csv,0.0,0.31,0.15,0.85,0.31,0.15,0.85,0.31,0.15
qse.csv,0.2,0.2,0.8,0.4,0.2,0.8,0.4,0.2,0.8
quarkplayer.csv,0.0,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
open-data-kit.csv,0.57,0.14,0.86,0.71,0.14,0.86,0.71,0.14,0.86
yafdotnet.csv,0.12,0.62,0.62,0.38,0.62,0.62,0.75,0.62,0.62
impala.csv,0.33,0.67,0.0,0.33,0.67,0.0,0.67,0.67,0.0
tycho.csv,1.0,0.0,1.0,0.67,0.0,1.0,0.67,0.0,1.0
nabu-library.csv,0.33,0.56,0.89,0.89,0.56,0.89,0.89,0.56,0.89
freewrl.csv,0.75,0.25,0.75,0.25,0.25,0.75,0.75,0.25,0.75
roller.csv,0.12,0.0,0.88,0.62,0.0,0.88,1.0,0.0,0.88
zabbix.csv,0.0,0.0,0.29,0.86,0.0,0.29,0.86,0.0,0.29
turbotrader-bos.csv,0.5,0.0,0.83,0.33,0.0,0.83,0.17,0.0,0.83
cascading.csv,0.18,0.64,0.91,0.09,0.64,0.91,0.27,0.64,0.91
omseek.csv,0.33,0.33,0.0,1.0,0.33,0.0,1.0,0.33,0.0
kindb.csv,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
panda3d.csv,0.67,0.5,0.0,0.0,0.5,0.0,0.67,0.5,0.0
gusanos.csv,0.14,0.14,0.57,0.43,0.14,0.57,0.43,0.14,0.57
truevision.csv,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
